CCTV-1,rtp://239.11.0.65:5140 
CCTV-2,rtp://239.11.0.108:5140 
CCTV-3,rtp://239.11.0.101:5140 
CCTV-4,rtp://239.11.0.109:5140 
CCTV-5,rtp://239.11.0.100:5140 
CCTV-6,rtp://239.11.0.102:5140 
CCTV-7,rtp://239.11.0.110:5140 
CCTV-8,rtp://239.11.0.103:5140 
CCTV-9,rtp://239.11.0.111:5140 
CCTV-10,rtp://239.11.0.112:5140 
CCTV-11,rtp://239.11.0.22:5140 
CCTV-12,rtp://239.11.0.113:5140 
CCTV-13,rtp://239.11.0.24:5140 
CCTV-14,rtp://239.11.0.114:5140 
CCTV-15,rtp://239.11.0.26:5140 
CCTV-16-4K,rtp://239.11.0.67:5140 
CGTV-记录,rtp://239.11.0.138:5140 
CCTV-5+,rtp://239.11.0.241:5140 
CCTV-17,rtp://239.11.0.107:5140 
湖南卫视,rtp://239.11.0.119:5140 
浙江卫视,rtp://239.11.0.70:5140 
江苏卫视,rtp://239.11.0.76:5140 
四川卫视,rtp://239.11.0.78:5140 
北京卫视,rtp://239.11.0.121:5140 
江西卫视,rtp://239.11.0.42:5140 
广东卫视,rtp://239.11.0.115:5140 
深圳卫视,rtp://239.11.0.71:5140 
东方卫视,rtp://239.11.0.68:5140 
海南卫视,rtp://239.11.0.193:5140 
天津卫视,rtp://239.11.0.123:5140 
重庆卫视,rtp://239.11.0.116:5140 
辽宁卫视,rtp://239.11.0.118:5140 
东南卫视,rtp://239.11.0.41:5140 
广西卫视,rtp://239.11.0.48:5140 
河北卫视,rtp://239.11.0.31:5140 
山西卫视,rtp://239.11.0.32:5140 
陕西卫视,rtp://239.11.0.54:5140 
贵州卫视,rtp://239.11.0.51:5140 
湖北卫视,rtp://239.11.0.74:5140 
青海卫视,rtp://239.11.0.56:5140 
河南卫视,rtp://239.11.0.44:5140 
山东卫视,rtp://239.11.0.73:5140 
安徽卫视,rtp://239.11.0.117:5140 
宁夏卫视,rtp://239.11.0.57:5140 
甘肃卫视,rtp://239.11.0.55:5140 
西藏卫视,rtp://239.11.0.53:5140 
内蒙古卫视,rtp://239.11.0.33:5140 
吉林卫视,rtp://239.11.0.35:5140 
新疆卫视,rtp://239.11.0.58:5140 
兵团卫视,rtp://239.11.0.204:5140 
云南卫视,rtp://239.11.0.52:5140 
康巴卫视,rtp://239.11.0.10:5140 
黑龙江卫视,rtp://239.11.0.36:5140 
延边卫视,rtp://239.11.0.206:5140 
四川文化旅游,rtp://239.11.0.2:5140 
四川经济,rtp://239.11.0.3:5140 
四川公共乡村,rtp://239.11.0.4:5140 
四川新闻,rtp://239.11.0.5:5140 
SCTV-7,rtp://239.11.0.8:5140 
四川科教,rtp://239.11.0.194:5140 
峨眉电影,rtp://239.11.0.11:5140 
四川影视文艺,rtp://239.11.0.77:5140 
晴彩剧场,rtp://239.11.0.100:5140 
CGTN,rtp://239.11.0.245:5140 
CETV1,rtp://239.11.0.139:5140 
CETV2,rtp://239.11.0.246:5140 
CETV3,rtp://239.11.0.247:5140 
CETV4,rtp://239.11.0.248:5140 
爱上4K,rtp://239.10.0.12:5140
爱上4K,rtp://239.10.0.29:5140
CDTV3,rtp://239.10.0.13:5140
CDTV3,rtp://239.10.0.40:5140
CDTV4,rtp://239.10.0.14:5140
CDTV6,rtp://239.10.0.16:5140
CDTV6,rtp://239.10.0.44:5140
泸州1台,rtp://239.10.0.46:5140
泸州2台,rtp://239.10.0.47:5140
泸州3台,rtp://239.10.0.48:5140
咪咕视频,rtp://239.10.0.20:5140
甘孜新闻综合,rtp://239.10.0.32:5140
仁寿综合,rtp://239.10.0.36:5140
阿坝汉语,rtp://239.10.0.50:5140
阿坝藏语,rtp://239.10.0.51:5140
巴中综合,rtp://239.10.0.52:5140
巴中公共,rtp://239.10.0.53:5140
德阳新闻,rtp://239.10.0.56:5140
德阳公共,rtp://239.10.0.57:5140
广安新闻,rtp://239.10.0.58:5140
广安公共,rtp://239.10.0.59:5140
广元综合,rtp://239.10.0.60:5140
广元公共,rtp://239.10.0.61:5140
乐山新闻,rtp://239.10.0.62:5140
乐山公共,rtp://239.10.0.63:5140
凉山新闻,rtp://239.10.0.64:5140
凉山彝语,rtp://239.10.0.65:5140
眉山综合,rtp://239.10.0.66:5140
眉山公共,rtp://239.10.0.67:5140
南充综合,rtp://239.10.0.68:5140
南充科教,rtp://239.10.0.70:5140
内江综合,rtp://239.10.0.71:5140
内江公共,rtp://239.10.0.72:5140
内江科教,rtp://239.10.0.73:5140
攀枝花新闻综合,rtp://239.10.0.74:5140
攀枝花公共频道,rtp://239.10.0.75:5140
遂宁综合,rtp://239.10.0.76:5140
遂宁公共,rtp://239.10.0.77:5140
雅安新闻综合,rtp://239.10.0.78:5140
雅安公共频道,rtp://239.10.0.79:5140
宜宾新闻,rtp://239.10.0.80:5140
宜宾公共,rtp://239.10.0.81:5140
资阳新闻,rtp://239.10.0.82:5140
自贡综合频道,rtp://239.10.0.83:5140
自贡公共频道,rtp://239.10.0.84:5140
自贡公共频道,rtp://239.10.0.112:5140
绵阳新闻综合,rtp://239.10.0.96:5140
绵阳公共,rtp://239.10.0.97:5140
绵阳科教,rtp://239.10.0.98:5140
新科动漫,rtp://239.10.0.37:5140
动漫秀场,rtp://239.10.0.101:5140
生活时尚,rtp://239.10.0.102:5140
游戏风云,rtp://239.10.0.103:5140
全纪实,rtp://239.10.0.105:5140
都市剧场,rtp://239.10.0.106:5140
IPTV热播剧场,rtp://239.10.0.121:5140
IPTV经典电影,rtp://239.10.0.122:5140
IPTV谍战剧场,rtp://239.10.0.123:5140
IPTV城市剧场,rtp://239.10.0.124:5140
IPTV军旅剧场,rtp://239.10.0.125:5140
IPTV古装剧场,rtp://239.10.0.126:5140
IPTV家庭影院,rtp://239.10.0.127:5140
七彩戏剧,rtp://239.10.0.128:5140
欢笑剧场4K,rtp://239.10.0.129:5140
天府TV经典再现,rtp://239.10.0.130:5140
天府TV军旅谍战,rtp://239.10.0.131:5140
IPTV喜剧影院,rtp://239.10.0.132:5140
IPTV武侠剧场,rtp://239.10.0.133:5140
BesTV太极养生,rtp://239.10.0.135:5140
天府TV教育综合,rtp://239.10.0.136:5140
天府TV辣妈学院,rtp://239.10.0.137:5140
